Permutation,BlockType,ShaderType,SPF1,SPF1_int,SPF1_hex,SPF1_flags_strict,SPF2,SPF2_int,SPF2_hex,SPF2_flags_strict,Occurrences,UniqueNifs,Meshes_total,Meshes_unique,trees,architecture,actors,decals,other,DominantClass,ExampleNifs,TopMaterials,SummaryCount,Delta_MapMinusSummary
BSLightingShaderProperty|GlowShader|SPF1=2151678467|SPF2=241,BSLightingShaderProperty,GlowShader,2151678467,2151678467,0x80400203,"Specular, Skinned, Cast_Shadows, Own_Emit, ZBuffer_Test",241,241,0x000000F1,"ZBuffer_Write, Double_Sided, Vertex_Colors, Glow_Map, Transform_Changed",1088,1051,1088,1051,0,0,1085,3,0,actors,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Effects\CritSkeletonFemale.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Effects\CritSkeletonWithMeat.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Effects\TeleportManSkeletonSkin.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Deathclaw\Deathclaw.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Deathclaw\DeathclawChameleon.nif,,1088,0
BSLightingShaderProperty|FaceTint|SPF1=2151679491|SPF2=129,BSLightingShaderProperty,FaceTint,2151679491,2151679491,0x80400603,"Specular, Skinned, Cast_Shadows, Face, Own_Emit, ZBuffer_Test",129,129,0x00000081,"ZBuffer_Write, Transform_Changed",1076,1076,1076,1076,0,0,1076,0,0,actors,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB2.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB7.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBF.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CC6.NIF,,1076,0
BSEffectShaderProperty|Default|SPF1=2885681154|SPF2=1073741984,BSEffectShaderProperty,Default,2885681154,2885681154,0xAC000002,"Skinned, Decal, Dynamic_Decal, External_Emittance, ZBuffer_Test",1073741984,1073741984,0x400000A0,"Vertex_Colors, Transform_Changed, Effect_Lighting",1046,1046,1046,1046,0,0,1046,0,0,actors,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB2.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB7.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBF.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CC6.NIF,,1046,0
BSLightingShaderProperty|Default|SPF1=2353004546|SPF2=4194449,BSLightingShaderProperty,Default,2353004546,2353004546,0x8C400002,"Skinned, Own_Emit, Decal, Dynamic_Decal, ZBuffer_Test",4194449,4194449,0x00400091,"ZBuffer_Write, Double_Sided, Transform_Changed, Skew_Specular_Alpha",996,996,996,996,0,0,996,0,0,actors,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB2.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB7.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBF.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CC6.NIF,,996,0
BSLightingShaderProperty|EnvironmentMap|SPF1=2151678595|SPF2=129,BSLightingShaderProperty,EnvironmentMap,2151678595,2151678595,0x80400283,"Specular, Skinned, Environment_Mapping, Cast_Shadows, Own_Emit, ZBuffer_Test",129,129,0x00000081,"ZBuffer_Write, Transform_Changed",823,710,823,710,0,0,526,0,297,actors,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\SuperMutantBehemoth\SuperMutantBehemothSwan.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Synths\Gen2Mech.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Synths\SynthGen2Hands.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\ViciousDog\DogCollar.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\ViciousDog\ViciousDog.nif,,823,0
BSLightingShaderProperty|Default|SPF1=2151678473|SPF2=161,BSLightingShaderProperty,Default,2151678473,2151678473,0x80400209,"Specular, Vertex_Alpha, Cast_Shadows, Own_Emit, ZBuffer_Test",161,161,0x000000A1,"ZBuffer_Write, Vertex_Colors, Transform_Changed",793,463,793,463,0,0,0,0,793,other,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM00019572.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001E4EB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001E4ED.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001E4EF.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001E4F1.NIF,,793,0
BSLightingShaderProperty|EnvironmentMap|SPF1=2151678609|SPF2=161,BSLightingShaderProperty,EnvironmentMap,2151678609,2151678609,0x80400291,"Specular, GreyscaleToPalette_Color, Environment_Mapping, Cast_Shadows, Own_Emit, ZBuffer_Test",161,161,0x000000A1,"ZBuffer_Write, Vertex_Colors, Transform_Changed",739,305,739,305,0,0,0,0,739,other,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM00017F6D.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM00017F6F.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM000192C8.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM000192CA.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM000192CB.NIF,,739,0
BSLightingShaderProperty|GlowShader|SPF1=2151940627|SPF2=240,BSLightingShaderProperty,GlowShader,2151940627,2151940627,0x80440213,"Specular, Skinned, GreyscaleToPalette_Color, Cast_Shadows, Hair, Own_Emit, ZBuffer_Test",240,240,0x000000F0,"Double_Sided, Vertex_Colors, Glow_Map, Transform_Changed",699,699,699,699,0,0,698,0,1,actors,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Clothes\Hats\HairElvis.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB2.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB7.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBF.NIF,,699,0
BSLightingShaderProperty|EnvironmentMap|SPF1=2151678595|SPF2=161,BSLightingShaderProperty,EnvironmentMap,2151678595,2151678595,0x80400283,"Specular, Skinned, Environment_Mapping, Cast_Shadows, Own_Emit, ZBuffer_Test",161,161,0x000000A1,"ZBuffer_Write, Vertex_Colors, Transform_Changed",685,676,685,676,0,0,678,0,7,actors,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Synths\SynthGen1Body.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Synths\SynthGen1BodyTeleport2.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Synths\SynthGen1Head1.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Synths\SynthGen1Head2.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Synths\SynthGen1Head3.nif,,685,0
BSLightingShaderProperty|HairTint|SPF1=2353266707|SPF2=2097312,BSLightingShaderProperty,HairTint,2353266707,2353266707,0x8C440013,"Specular, Skinned, GreyscaleToPalette_Color, Hair, Own_Emit, Decal, Dynamic_Decal, ZBuffer_Test",2097312,2097312,0x002000A0,"Vertex_Colors, Transform_Changed, Anisotropic_Lighting",627,627,627,627,0,0,626,0,1,actors,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Clothes\Hats\HairElvis.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB2.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBF.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CC6.NIF,,627,0
BSLightingShaderProperty|EnvironmentMap|SPF1=205521035|SPF2=161,BSLightingShaderProperty,EnvironmentMap,205521035,205521035,0x0C40008B,"Specular, Skinned, Vertex_Alpha, Environment_Mapping, Own_Emit, Decal, Dynamic_Decal",161,161,0x000000A1,"ZBuffer_Write, Vertex_Colors, Transform_Changed",621,621,621,621,0,0,621,0,0,actors,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB2.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CB7.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CBB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CCB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002CD6.NIF,,621,0
BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=49,BSLightingShaderProperty,Default,2151678465,2151678465,0x80400201,"Specular, Cast_Shadows, Own_Emit, ZBuffer_Test",49,49,0x00000031,"ZBuffer_Write, Double_Sided, Vertex_Colors",590,289,590,289,119,332,21,1,117,architecture,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Gore\GoreHumanTorso.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\LoadScreenArt\CreatureDogs01.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\LoadScreenArt\Workshop03.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SetDressing\TreeNoose01_Branch.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SetDressing\TreeSwing03_NoSwing.nif,,590,0
BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=536870961,BSLightingShaderProperty,Default,2151678465,2151678465,0x80400201,"Specular, Cast_Shadows, Own_Emit, ZBuffer_Test",536870961,536870961,0x20000031,"ZBuffer_Write, Double_Sided, Vertex_Colors, Tree_Anim",564,176,564,176,91,427,0,0,46,architecture,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Landscape\Grass\DriedGrassLongObj01.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Landscape\Grass\DriedGrassLongObj02.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Landscape\Plants\BeachGrassBluffLarge.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Landscape\Plants\BeachGrassBluffMed.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Landscape\Plants\BeachGrassBluffSmall.nif,,564,0
BSLightingShaderProperty|Default|SPF1=2353004553|SPF2=169,BSLightingShaderProperty,Default,2353004553,2353004553,0x8C400009,"Specular, Vertex_Alpha, Own_Emit, Decal, Dynamic_Decal, ZBuffer_Test",169,169,0x000000A9,"ZBuffer_Write, No_Fade, Vertex_Colors, Transform_Changed",532,233,532,233,0,0,0,0,532,other,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0004A8BE.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0004A8C0.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0004A8C9.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0004A8CA.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0004A8CB.NIF,,532,0
BSLightingShaderProperty|HairTint|SPF1=2353266707|SPF2=2097313,BSLightingShaderProperty,HairTint,2353266707,2353266707,0x8C440013,"Specular, Skinned, GreyscaleToPalette_Color, Hair, Own_Emit, Decal, Dynamic_Decal, ZBuffer_Test",2097313,2097313,0x002000A1,"ZBuffer_Write, Vertex_Colors, Transform_Changed, Anisotropic_Lighting",483,153,483,153,0,0,483,0,0,actors,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002EFA.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002F10.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002F12.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\00002F1C.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Character\FaceGenData\FaceGeom\Fallout4.esm\0000365E.NIF,,483,0
BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=17,BSLightingShaderProperty,EnvironmentMap,2151678593,2151678593,0x80400281,"Specular, Environment_Mapping, Cast_Shadows, Own_Emit, ZBuffer_Test",17,17,0x00000011,"ZBuffer_Write, Double_Sided",451,343,451,343,3,168,67,7,206,other,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Effects\HolographShaunBase.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Landscape\CulvertBridgeLandscape_L01.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\LoadScreenArt\Armor02PowerArmor2.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\LoadScreenArt\Armor03PowerArmor7T60.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\LoadScreenArt\Armor04Underarmor.nif,,451,0
BSLightingShaderProperty|Default|SPF1=2151677961|SPF2=161,BSLightingShaderProperty,Default,2151677961,2151677961,0x80400009,"Specular, Vertex_Alpha, Own_Emit, ZBuffer_Test",161,161,0x000000A1,"ZBuffer_Write, Vertex_Colors, Transform_Changed",443,249,443,249,0,0,0,0,443,other,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001E4EB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001E4ED.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001E4EF.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001E4F1.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001E4F3.NIF,,443,0
